0,Calendar,Duration,Percent
1,Сон,883.5,34.72877358490566
2,Unfilled,613.0,24.095911949685533
3,Дорога,243.0,9.55188679245283
4,30_АйДи,216.0,8.49056603773585
5,22_Диплом,181.0,7.114779874213836
6,25_BIM IT,114.5,4.5007861635220126
7,Hop&Scotch,62.0,2.4371069182389937
8,Physical activity,58.0,2.279874213836478
9,Other Projects,41.0,1.6116352201257862
10,Статья,38.0,1.4937106918238994
11,Отдых,37.0,1.4544025157232705
12,Programming,15.0,0.589622641509434
13,tachkov.maksim@gmail.com,15.0,0.589622641509434
14,20_Политех | Пары,7.0,0.2751572327044025
15,Hop&Scotch | Homework,6.5,0.255503144654088
16,Здоровье,3.5,0.13757861635220126
17,Housework,3.0,0.1179245283018868
18,Cooking,2.0,0.07861635220125787
19,XCompany,2.0,0.07861635220125787
20,21_Политех | Уроки,2.0,0.07861635220125787
21,Отряды,1.0,0.039308176100628936
22,Holidays in Russia,0.0,0.0
23,_Timetable,0.0,0.0
24,Birthdays,0.0,0.0
25,00_DeadLines,0.0,0.0
