Calendar,Duration,Percent
Сон,247.5,33.266129032258064
Unfilled,164.0,22.043010752688172
30_АйДи,136.0,18.27956989247312
Дорога,71.0,9.543010752688172
Trip,52.5,7.056451612903227
Other Projects,18.5,2.486559139784946
Physical activity,18.5,2.486559139784946
Hop&Scotch,15.0,2.0161290322580645
tachkov.maksim@gmail.com,8.5,1.14247311827957
Отдых,6.5,0.8736559139784945
21_Политех | Уроки,3.0,0.4032258064516129
Здоровье,2.0,0.2688172043010753
O&P,1.0,0.13440860215053765
Birthdays,0.0,0.0
_Reminder,0.0,0.0
_Timetable,0.0,0.0
Отпуски,0.0,0.0
00_DeadLines,0.0,0.0
